timestamp,device_id,co2 (ppm),voc (ppb),pm1 (µg/m³),pm25 (µg/m³),pm4 (µg/m³),pm10 (µg/m³),temp_c (°C),rh (%),health_index
2025-10-05T00:00:00Z,AirQ.001,443,66,5.1,5.6,6.1,9.2,22.1,40.0,95.5
2025-10-05T00:00:00Z,SPS3.001,434,114,0.0,0.6,0.6,0.6,22.0,41.6,99.5
2025-10-05T00:00:00Z,FieldLab.001,477,65,,,,,22.3,39.8,100.0
2025-10-05T00:05:00Z,AirQ.001,430,140,2.5,2.8,2.8,2.8,22.2,41.9,97.8
2025-10-05T00:05:00Z,SPS3.001,438,86,0.9,3.2,3.2,3.2,22.2,41.7,97.4
2025-10-05T00:05:00Z,FieldLab.001,454,112,,,,,21.9,40.3,100.0
2025-10-05T00:10:00Z,AirQ.001,443,89,3.8,3.8,4.5,7.5,22.2,39.9,97.0
2025-10-05T00:10:00Z,SPS3.001,445,178,0.7,1.4,1.4,7.1,22.4,40.9,98.9
2025-10-05T00:10:00Z,FieldLab.001,426,73,,,,,22.0,42.2,100.0
2025-10-05T00:15:00Z,AirQ.001,439,106,1.6,2.1,2.1,3.6,22.2,40.9,98.3
2025-10-05T00:15:00Z,SPS3.001,428,83,2.1,3.5,3.5,3.6,22.5,40.9,97.2
2025-10-05T00:15:00Z,FieldLab.001,410,69,,,,,22.1,44.6,100.0
2025-10-05T00:20:00Z,AirQ.001,433,102,4.3,4.7,6.5,6.5,22.4,38.9,96.2
2025-10-05T00:20:00Z,SPS3.001,450,81,4.8,7.8,10.6,15.0,22.3,39.2,93.8
2025-10-05T00:20:00Z,FieldLab.001,443,74,,,,,22.0,42.2,100.0
2025-10-05T00:25:00Z,AirQ.001,418,126,3.2,4.6,4.6,7.6,22.1,41.5,96.3
2025-10-05T00:25:00Z,SPS3.001,439,99,3.0,5.3,5.3,15.3,22.4,42.2,95.8
2025-10-05T00:25:00Z,FieldLab.001,421,65,,,,,22.3,41.7,100.0
2025-10-05T00:30:00Z,AirQ.001,453,59,2.1,2.3,3.1,5.0,22.1,43.3,98.2
2025-10-05T00:30:00Z,SPS3.001,438,69,2.4,4.6,5.9,12.5,21.9,42.3,96.3
2025-10-05T00:30:00Z,FieldLab.001,453,99,,,,,21.7,41.4,100.0
2025-10-05T00:35:00Z,AirQ.001,439,97,1.9,2.0,3.1,5.1,22.3,39.2,98.4
2025-10-05T00:35:00Z,SPS3.001,423,106,3.7,5.1,6.9,16.0,22.3,41.6,95.9
2025-10-05T00:35:00Z,FieldLab.001,437,56,,,,,21.9,41.4,100.0
2025-10-05T00:40:00Z,AirQ.001,466,83,2.8,2.8,3.5,3.5,21.8,42.3,97.8
2025-10-05T00:40:00Z,SPS3.001,425,153,5.0,8.2,11.2,19.1,22.3,40.4,93.4
2025-10-05T00:40:00Z,FieldLab.001,426,106,,,,,22.2,39.5,100.0
2025-10-05T00:45:00Z,AirQ.001,429,77,2.9,2.9,4.7,4.7,21.9,43.3,97.7
2025-10-05T00:45:00Z,SPS3.001,426,113,0.0,1.4,1.7,1.7,21.7,43.7,98.9
2025-10-05T00:45:00Z,FieldLab.001,457,82,,,,,22.3,41.4,100.0
2025-10-05T00:50:00Z,AirQ.001,422,88,3.3,3.5,6.1,6.1,22.5,38.6,97.2
2025-10-05T00:50:00Z,SPS3.001,435,81,2.6,5.3,5.9,9.7,22.2,43.7,95.8
2025-10-05T00:50:00Z,FieldLab.001,445,73,,,,,21.8,42.6,100.0
2025-10-05T00:55:00Z,AirQ.001,445,96,3.0,3.7,5.8,7.0,22.1,43.5,97.0
2025-10-05T00:55:00Z,SPS3.001,438,86,1.7,1.7,4.5,4.5,21.8,43.4,98.6
2025-10-05T00:55:00Z,FieldLab.001,422,110,,,,,21.9,40.2,100.0
2025-10-05T01:00:00Z,AirQ.001,435,86,3.8,4.8,4.8,7.4,22.0,40.9,96.2
2025-10-05T01:00:00Z,SPS3.001,429,122,1.4,1.4,1.4,9.2,21.8,41.6,98.9
2025-10-05T01:00:00Z,FieldLab.001,428,102,,,,,21.7,42.4,100.0
2025-10-05T01:05:00Z,AirQ.001,458,104,3.1,3.6,3.6,5.2,22.0,43.9,97.1
2025-10-05T01:05:00Z,SPS3.001,455,74,1.9,5.1,8.5,10.1,21.6,43.3,95.9
2025-10-05T01:05:00Z,FieldLab.001,405,103,,,,,21.7,42.5,100.0
2025-10-05T01:10:00Z,AirQ.001,420,92,0.9,0.9,0.9,3.8,21.5,40.9,99.3
2025-10-05T01:10:00Z,SPS3.001,436,86,0.0,0.0,0.3,3.3,21.7,41.4,100.0
2025-10-05T01:10:00Z,FieldLab.001,447,123,,,,,21.9,44.9,100.0
2025-10-05T01:15:00Z,AirQ.001,461,118,4.4,5.7,7.7,10.4,21.4,40.1,95.4
2025-10-05T01:15:00Z,SPS3.001,404,111,3.6,5.4,7.9,11.2,22.0,41.5,95.7
2025-10-05T01:15:00Z,FieldLab.001,413,104,,,,,21.5,42.9,100.0
2025-10-05T01:20:00Z,AirQ.001,439,112,1.8,1.8,1.8,1.8,21.8,40.4,98.6
2025-10-05T01:20:00Z,SPS3.001,424,91,3.1,4.4,7.6,7.6,21.6,42.9,96.5
2025-10-05T01:20:00Z,FieldLab.001,426,56,,,,,22.2,44.5,100.0
2025-10-05T01:25:00Z,AirQ.001,433,101,0.9,2.0,2.6,2.6,21.4,41.1,98.4
2025-10-05T01:25:00Z,SPS3.001,423,116,2.2,2.2,5.1,5.1,22.2,41.5,98.2
2025-10-05T01:25:00Z,FieldLab.001,432,61,,,,,21.5,42.9,100.0
2025-10-05T01:30:00Z,AirQ.001,425,73,1.9,2.7,3.6,3.8,21.7,40.8,97.8
2025-10-05T01:30:00Z,SPS3.001,429,107,5.2,7.6,12.2,13.0,21.6,40.7,93.9
2025-10-05T01:30:00Z,FieldLab.001,434,100,,,,,21.6,43.1,100.0
2025-10-05T01:35:00Z,AirQ.001,410,63,1.8,1.8,1.8,4.3,21.5,43.1,98.6
2025-10-05T01:35:00Z,SPS3.001,451,74,2.3,3.7,8.1,8.1,21.8,41.4,97.0
2025-10-05T01:35:00Z,FieldLab.001,446,86,,,,,21.8,45.4,100.0
2025-10-05T01:40:00Z,AirQ.001,448,87,2.0,2.6,3.2,7.1,21.8,42.0,97.9
2025-10-05T01:40:00Z,SPS3.001,442,71,2.5,4.0,4.0,6.7,21.9,44.2,96.8
2025-10-05T01:40:00Z,FieldLab.001,453,82,,,,,21.5,43.6,100.0
2025-10-05T01:45:00Z,AirQ.001,423,82,3.2,3.9,3.9,4.8,21.8,43.6,96.9
2025-10-05T01:45:00Z,SPS3.001,424,127,0.4,1.9,1.9,4.7,21.9,41.1,98.5
2025-10-05T01:45:00Z,FieldLab.001,404,160,,,,,21.7,43.5,100.0
2025-10-05T01:50:00Z,AirQ.001,443,100,3.0,3.8,3.8,5.3,21.7,44.2,97.0
2025-10-05T01:50:00Z,SPS3.001,414,120,1.0,4.3,5.4,11.6,22.0,41.3,96.6
2025-10-05T01:50:00Z,FieldLab.001,415,87,,,,,21.6,38.5,100.0
2025-10-05T01:55:00Z,AirQ.001,434,111,1.6,1.6,2.1,2.4,21.6,42.9,98.7
2025-10-05T01:55:00Z,SPS3.001,432,80,3.1,4.2,4.2,4.2,21.3,40.9,96.6
2025-10-05T01:55:00Z,FieldLab.001,442,87,,,,,21.3,41.5,100.0
2025-10-05T02:00:00Z,AirQ.001,423,106,2.2,3.2,3.3,5.7,21.3,43.8,97.4
2025-10-05T02:00:00Z,SPS3.001,431,99,3.2,6.9,8.0,10.7,21.2,45.4,94.5
2025-10-05T02:00:00Z,FieldLab.001,417,55,,,,,21.8,40.8,100.0
2025-10-05T02:05:00Z,AirQ.001,457,136,2.6,3.1,5.1,5.1,21.6,42.3,97.5
2025-10-05T02:05:00Z,SPS3.001,435,51,0.2,1.7,2.5,2.5,21.7,45.8,98.6
2025-10-05T02:05:00Z,FieldLab.001,447,107,,,,,21.7,44.3,100.0
2025-10-05T02:10:00Z,AirQ.001,463,90,3.0,3.5,4.8,4.8,21.6,41.8,97.2
2025-10-05T02:10:00Z,SPS3.001,423,127,0.8,3.4,8.7,8.7,21.6,43.2,97.3
2025-10-05T02:10:00Z,FieldLab.001,443,158,,,,,21.6,44.6,100.0
2025-10-05T02:15:00Z,AirQ.001,425,138,3.3,3.5,5.3,6.3,21.2,41.9,97.2
2025-10-05T02:15:00Z,SPS3.001,432,109,3.1,4.8,7.7,15.3,21.8,42.3,96.2
2025-10-05T02:15:00Z,FieldLab.001,443,92,,,,,21.7,43.3,100.0
2025-10-05T02:20:00Z,AirQ.001,436,105,2.9,3.0,3.6,4.4,21.8,42.3,97.6
