timestamp,device_id,co2,voc,pm1,pm25,pm4,pm10,temp_c,rh,smoke_present
2022-06-13T14:15:16+00:00,smoke_sensor_01,400,9467,0.89,0.92,,,-10.0,12.44,0
2022-06-09T09:50:54+00:00,smoke_sensor_01,400,228,0.39,0.41,,,20.96,50.91,1
2022-06-09T08:15:56+00:00,smoke_sensor_01,400,7,0.43,0.45,,,16.99,49.06,0
2022-06-08T19:15:54+00:00,smoke_sensor_01,400,0,1.87,1.94,,,27.6,41.12,0
2022-06-09T01:26:33+00:00,smoke_sensor_01,400,58,2.25,2.34,,,-6.465,52.28,1
2022-06-13T13:06:01+00:00,smoke_sensor_01,415,87,2.32,2.41,,,-9.267,40.71,0
2022-06-13T12:52:25+00:00,smoke_sensor_01,400,50,1.72,1.79,,,23.37,46.13,0
2022-06-08T19:50:07+00:00,smoke_sensor_01,400,1295,0.71,0.74,,,50.0,13.8,0
2022-06-09T00:41:15+00:00,smoke_sensor_01,400,65,0.54,0.56,,,23.027,54.22,0
2022-06-13T13:06:02+00:00,smoke_sensor_01,415,92,2.29,2.38,,,-9.269,41.66,0
2022-06-09T05:48:53+00:00,smoke_sensor_01,400,1230,2.17,2.25,,,12.053,53.04,1
2022-06-09T01:01:14+00:00,smoke_sensor_01,400,181,0.74,0.77,,,9.818,45.39,0
2022-06-08T18:27:06+00:00,smoke_sensor_01,423,60,2.16,2.24,,,29.22,40.7,0
2022-06-08T19:47:03+00:00,smoke_sensor_01,400,4594,0.63,0.65,,,50.0,11.47,0
2022-06-09T02:34:45+00:00,smoke_sensor_01,400,343,0.41,0.42,,,-5.062,56.91,1
2022-06-09T08:43:47+00:00,smoke_sensor_01,400,134,0.96,1.0,,,18.31,52.23,0
2022-06-13T13:31:33+00:00,smoke_sensor_01,406,137,1.4,1.46,,,17.711,46.93,0
2022-06-09T01:06:32+00:00,smoke_sensor_01,400,313,1.13,1.17,,,5.857,57.54,1
2022-06-13T12:56:17+00:00,smoke_sensor_01,449,79,2.31,2.4,,,12.69,46.19,0
2022-06-09T00:27:30+00:00,smoke_sensor_01,400,25,0.34,0.35,,,27.082,54.44,0
2022-06-13T13:07:35+00:00,smoke_sensor_01,400,64,2.17,2.25,,,-8.905,43.93,0
2022-06-09T07:02:34+00:00,smoke_sensor_01,415,1316,1.98,2.06,,,11.344,53.16,1
2022-06-09T12:53:23+00:00,smoke_sensor_01,400,1136,1.85,1.92,,,24.87,52.18,1
2022-06-09T00:58:44+00:00,smoke_sensor_01,400,172,0.81,0.84,,,11.685,51.14,0
2022-06-09T01:09:34+00:00,smoke_sensor_01,400,356,1.34,1.39,,,3.639,55.58,1
2022-06-09T03:21:23+00:00,smoke_sensor_01,625,1084,2.4,2.5,,,12.422,47.16,1
2022-06-08T19:33:26+00:00,smoke_sensor_01,452,14056,1.02,1.06,,,50.0,13.06,0
2022-06-09T03:35:16+00:00,smoke_sensor_01,577,1097,1.94,2.01,,,19.428,46.98,1
2022-06-09T03:39:28+00:00,smoke_sensor_01,574,1124,2.17,2.26,,,20.439,50.79,1
2022-06-09T02:43:01+00:00,smoke_sensor_01,662,573,2.84,2.96,,,-5.186,66.54,1
2022-06-09T01:32:08+00:00,smoke_sensor_01,400,54,2.35,2.44,,,-8.316,48.92,1
2022-06-09T11:07:26+00:00,smoke_sensor_01,624,1063,2.07,2.15,,,24.59,51.98,1
2022-06-09T04:16:09+00:00,smoke_sensor_01,443,1109,1.81,1.88,,,13.769,47.57,1
2022-06-09T08:11:05+00:00,smoke_sensor_01,400,0,0.27,0.28,,,15.24,53.1,0
2022-06-08T18:25:27+00:00,smoke_sensor_01,400,97,2.09,2.18,,,26.98,44.58,0
2022-06-08T19:13:45+00:00,smoke_sensor_01,400,0,2.03,2.11,,,25.45,44.79,0
2022-06-09T06:59:52+00:00,smoke_sensor_01,400,1274,2.07,2.16,,,4.675,54.39,1
2022-06-13T13:46:17+00:00,smoke_sensor_01,400,0,1.49,1.55,,,12.059,43.98,0
2022-06-09T12:22:58+00:00,smoke_sensor_01,400,1120,1.79,1.86,,,26.87,47.96,1
2022-06-08T18:21:45+00:00,smoke_sensor_01,400,47,2.08,2.16,,,26.63,45.97,0
2022-06-08T18:56:37+00:00,smoke_sensor_01,451,181,1.88,1.95,,,25.89,48.16,0
2022-06-09T07:57:05+00:00,smoke_sensor_01,407,7,0.02,0.08,,,13.69,49.39,0
2022-06-13T12:45:36+00:00,smoke_sensor_01,434,11,2.0,2.07,,,21.669,40.62,0
2022-06-09T14:01:43+00:00,smoke_sensor_01,404,1350,2.22,2.31,,,24.33,54.12,1
2022-06-09T09:56:55+00:00,smoke_sensor_01,400,246,0.55,0.57,,,20.96,50.08,1
2022-06-09T14:35:26+00:00,smoke_sensor_01,402,1385,1.69,1.76,,,24.64,53.16,1
2022-06-09T02:59:59+00:00,smoke_sensor_01,703,931,2.38,2.47,,,-0.996,56.17,1
2022-06-09T11:15:36+00:00,smoke_sensor_01,593,1067,1.9,1.97,,,24.4,53.15,1
2022-06-08T18:36:05+00:00,smoke_sensor_01,400,95,1.85,1.93,,,28.87,41.36,0
2022-06-13T14:19:43+00:00,smoke_sensor_01,400,722,0.63,0.66,,,6.085,14.71,0
2022-06-08T19:15:34+00:00,smoke_sensor_01,400,0,1.89,1.96,,,25.51,43.48,0
2022-06-09T00:34:01+00:00,smoke_sensor_01,400,18,0.41,0.43,,,25.916,53.17,0
2022-06-08T18:22:55+00:00,smoke_sensor_01,400,25,2.06,2.14,,,28.93,42.11,0
2022-06-09T14:01:20+00:00,smoke_sensor_01,406,1356,2.01,2.09,,,24.93,51.57,1
2022-06-09T12:45:21+00:00,smoke_sensor_01,413,1233,1.73,1.8,,,24.98,51.55,1
2022-06-09T09:52:50+00:00,smoke_sensor_01,400,226,0.47,0.49,,,20.8,51.71,1
2022-06-09T08:57:48+00:00,smoke_sensor_01,400,227,1.44,1.49,,,21.6,53.8,1
2022-06-09T04:02:38+00:00,smoke_sensor_01,500,1105,1.52,1.58,,,17.592,52.73,1
2022-06-13T12:48:38+00:00,smoke_sensor_01,420,57,2.16,2.24,,,27.039,40.91,0
2022-06-09T01:45:02+00:00,smoke_sensor_01,400,33,2.33,2.42,,,-9.063,50.41,1
2022-06-09T05:37:30+00:00,smoke_sensor_01,405,1178,1.77,1.84,,,18.782,52.1,1
2022-06-09T08:14:53+00:00,smoke_sensor_01,400,18,0.41,0.42,,,16.54,50.36,0
2022-06-09T06:12:08+00:00,smoke_sensor_01,401,1333,1.98,2.05,,,-10.0,48.17,1
2022-06-09T10:58:03+00:00,smoke_sensor_01,634,958,2.09,2.18,,,25.65,52.05,1
2022-06-13T12:46:36+00:00,smoke_sensor_01,404,21,2.18,2.26,,,24.442,40.91,0
2022-06-09T12:08:03+00:00,smoke_sensor_01,422,1055,2.01,2.09,,,26.99,47.46,1
2022-06-09T02:55:30+00:00,smoke_sensor_01,726,843,2.48,2.58,,,-2.899,51.19,1
2022-06-09T14:50:18+00:00,smoke_sensor_01,426,1389,2.3,2.39,,,24.99,50.92,1
2022-06-09T08:10:14+00:00,smoke_sensor_01,400,4,0.27,0.28,,,15.26,51.65,0
2022-06-08T19:07:58+00:00,smoke_sensor_01,423,198,1.65,1.72,,,28.36,43.82,0
2022-06-09T09:31:26+00:00,smoke_sensor_01,400,43,2.26,2.35,,,19.77,54.27,1
2022-06-09T08:53:51+00:00,smoke_sensor_01,400,292,1.31,1.36,,,21.8,57.2,1
2022-06-09T08:35:33+00:00,smoke_sensor_01,400,40,0.82,0.86,,,19.16,46.78,0
2022-06-13T13:44:40+00:00,smoke_sensor_01,400,0,1.72,1.79,,,12.098,38.98,0
2022-06-09T13:06:42+00:00,smoke_sensor_01,410,1237,1.54,1.6,,,24.45,53.81,1
2022-06-09T00:37:16+00:00,smoke_sensor_01,400,0,0.71,0.74,,,24.801,55.91,0
2022-06-09T00:10:19+00:00,smoke_sensor_01,448,33,0.01,0.04,,,21.23,50.45,0
2022-06-09T08:30:33+00:00,smoke_sensor_01,400,1,0.93,0.97,,,19.82,47.17,0
2022-06-08T18:28:32+00:00,smoke_sensor_01,457,75,2.42,2.51,,,26.63,45.81,0
2022-06-13T13:32:36+00:00,smoke_sensor_01,422,163,1.66,1.73,,,19.477,44.86,0
2022-06-09T09:59:02+00:00,smoke_sensor_01,400,275,0.48,0.5,,,19.32,50.85,1
2022-06-09T06:38:08+00:00,smoke_sensor_01,400,1358,2.02,2.09,,,-10.0,48.35,1
2022-06-09T11:10:05+00:00,smoke_sensor_01,593,992,2.22,2.31,,,26.77,47.51,1
2022-06-09T08:45:51+00:00,smoke_sensor_01,400,155,0.69,0.72,,,20.56,49.0,0
2022-06-13T14:08:57+00:00,smoke_sensor_01,5000,60000,1000.0,1000.0,,,-10.0,22.37,0
2022-06-09T11:10:45+00:00,smoke_sensor_01,586,973,2.24,2.33,,,25.77,52.93,1
2022-06-13T14:08:12+00:00,smoke_sensor_01,5000,60000,1000.0,1000.0,,,-8.338,26.87,0
2022-06-09T02:45:20+00:00,smoke_sensor_01,557,629,2.38,2.47,,,-5.039,59.48,1
2022-06-09T05:32:03+00:00,smoke_sensor_01,400,1170,1.84,1.91,,,20.251,48.6,1
